M HIP_ID Dist RA_J2000 DEC_J2000 V_MAG Parallax PM_RA PM_DEC CCDM Sp_Type HIP_ID_STR FLUX_J FLUX_H FLUX_K
M 13127 N/A 02:48:50.79 -43:53:29.1 9.39 4.35 32.34 10.0 -------- A0V hip13127 9.295000076293945 9.310999870300293 9.251999855041504
M 13789 N/A 02:57:32.63 -38:11:27.3 6.41 9.01 2.61 11.1 -------- A0Vn hip13789 6.435999870300293 6.493000030517578 6.4679999351501465
M 13917 N/A 02:59:16.76 +01:14:40.4 8.64 0.67 11.98 -5.9 -------- A0V hip13917 8.503999710083008 8.49899959564209 8.519000053405762
M 13947 N/A 02:59:38.30 -32:30:25.9 6.32 7.9 7.3 9.67 -------- A0V hip13947 6.271999835968018 6.263000011444092 6.260000228881836
M 14395 N/A 03:05:41.84 -43:54:14.3 9.34 2.71 11.18 13.16 -------- A0V hip14395 9.303999900817871 9.315999984741211 9.289999961853027
M 14431 N/A 03:06:16.39 +59:35:06.3 8.95 6.26 16.33 -19.5 -------- A0V hip14431 8.41100025177002 8.354999542236328 8.336000442504883
M 14627 N/A 03:08:54.19 -18:58:09.2 7.19 3.6 15.84 6.06 -------- A0V hip14627 6.734000205993652 6.5370001792907715 6.389999866485596
M 14703 N/A 03:09:56.54 -44:59:30.3 9.26 3.04 15.49 7.97 -------- A0V hip14703 8.98799991607666 8.937999725341797 8.88599967956543
M 14719 N/A 03:10:08.84 +27:49:11.1 6.42 5.42 17.62 -50.91 -------- A0V hip14719 6.289999961853027 6.335000038146973 6.317999839782715
M 15086 N/A 03:14:33.62 +61:42:56.1 7.88 4.4 -10.48 1.51 -------- A0V hip15086 7.658999919891357 7.6570000648498535 7.645999908447266
M 15339 N/A 03:17:49.31 -49:17:07.2 8.56 4.87 65.54 21.85 -------- A0V hip15339 8.392000198364258 8.394000053405762 8.317999839782715
M 15505 N/A 03:19:47.26 +48:37:40.4 7.66 5.2 21.96 -25.38 -------- A0Vn hip15505 7.459000110626221 7.453999996185303 7.456999778747559
M 15570 N/A 03:20:36.46 -36:46:31.8 7.95 3.39 9.37 -13.34 -------- A0V hip15570 "" 7.859000205993652 7.810999870300293
M 15660 N/A 03:21:41.93 -20:19:28.7 6.69 11.62 39.02 -14.92 03217-2019 A0V hip15660 6.6529998779296875 6.693999767303467 6.646999835968018
M 15814 N/A 03:23:43.16 +51:46:13.2 7.89 5.91 23.15 -25.5 -------- A0V hip15814 7.598999977111816 7.589000225067139 7.540999889373779
M 15925 N/A 03:25:09.38 +41:15:26.2 6.52 4.81 -8.25 6.31 -------- A0V hip15925 6.333000183105469 6.355999946594238 6.340000152587891
M 16095 N/A 03:27:18.68 +12:44:07.0 6.29 9.58 11.44 -7.54 -------- A0Vs hip16095 6.2820000648498535 6.321000099182129 6.310999870300293
M 16111 N/A 03:27:33.24 -15:12:37.6 9.23 5.5 9.08 -12.65 -------- A0V hip16111 9.019000053405762 8.994000434875488 8.961999893188477
M 16124 N/A 03:27:41.36 -14:21:59.6 7.22 7.75 -14.88 -10.48 03277-1422 A0V hip16124 7.039999961853027 6.980999946594238 6.961999893188477
M 16275 N/A 03:29:49.99 +47:58:36.5 7.67 5.3 24.95 -32.58 -------- A0Vn hip16275 7.3470001220703125 7.314000129699707 7.283999919891357
M 16322 N/A 03:30:24.47 +11:20:11.1 5.14 7.82 -11.71 -16.08 -------- A0Vn hip16322 5.172999858856201 5.186999797821045 5.166999816894531
M 16400 N/A 03:31:10.93 -13:29:55.8 7.71 4.65 6.46 -1.27 -------- A0V hip16400 7.47599983215332 7.492000102996826 7.445000171661377
M 16424 N/A 03:31:29.34 +49:12:35.1 6.29 6.97 -14.85 -1.32 -------- A0Vn hip16424 6.000999927520752 5.98799991607666 5.98799991607666
M 16433 N/A 03:31:34.97 -31:40:24.7 7.62 6.11 -2.48 -15.79 -------- A0V hip16433 7.502999782562256 7.505000114440918 7.501999855041504
M 16652 N/A 03:34:15.89 +47:16:33.3 9.27 4.0 6.34 -6.85 -------- A0V hip16652 8.746000289916992 8.6899995803833 8.633999824523926
M 16725 N/A 03:35:12.31 +73:20:48.9 6.56 5.3 8.6 -24.53 -------- A0Vn hip16725 6.425000190734863 6.445000171661377 6.447000026702881
M 16904 N/A 03:37:31.36 -33:56:58.7 8.56 3.09 -1.3 -4.12 -------- A0V hip16904 8.50100040435791 8.494000434875488 8.496999740600586
M 16966 N/A 03:38:15.58 +47:34:37.1 7.45 4.45 20.73 -26.64 -------- A0V hip16966 7.36299991607666 7.39300012588501 7.375
